Name,Length,Spanwidth/rotorblade diameter
General Dynamics F-16AM/BM Fighting Falcon,15.06,9.96
Lockheed Martin F-35A Lightning II,15.7,11
McDonnell Douglas KC-10 Extender,55.35,50.41
Airbus A330 Multi Role Tanker Transport,58.8,60.3
Lockheed C-130 Hercules,29.79,40.41
Gulfstream G650,30.41,30.56
Gulfstream IV,26.92,23.72
Dornier 228,16.56,16.97
Boeing AH-64D Apache,15.5,14.63
Boeing CH-47D/F Chinook,16,18
Eurocopter AS532 Cougar,15.53,15.6
NHIndustries NH90,16.13,16.3
Pilatus PC-7 Turbo Trainer,9.78,10.4
General Atomics MQ-9 Reaper,11,20
